TF	spearman_pval	spearman_rho	spearman_adj_pval
MNT	0.41855760991298	-0.107071887784921	1
OLIG1	0.647898964749882	0.0605493863237873	1
ATF7	0.508655044195114	-0.0875511396843951	1
CEBPG	0.00369233337893886	0.374342489772063	1
CREB3L1	0.0681407788502974	0.23927527761543	1
NFE2	0	0.771420222092344	0
TEF	0.589984267225263	-0.0714202220923437	1
XBP1	0.501583730188817	-0.0890122735242548	1
FOXC1	0.336637709983044	0.127060198714202	1
FOXO4	0.00122086025341635	-0.414085330216248	0.48834410136654
FOXO6	0.65489856995911	0.0592635885447107	1
FOXP3	0.978727823194102	0.00356516656925774	1
RXRB	0.000521105834437377	-0.441846873173583	0.208442333774951
TP53	0.000738489851004421	0.430742255990649	0.295395940401768
TP73	0.0335648937507688	0.277673874926943	1
GMEB2	0.00448490929367209	0.366861484511981	1
MTF1	0.0592783541897228	-0.247223845704267	1
E2F1	8.38272517841545e-05	0.494915254237288	0.0335309007136618
ELK1	0.558657100269872	-0.0774985388661602	1
HESX1	2.30150537193423e-08	0.666744593804793	9.20602148773692e-06
HMBOX1	0	-0.792518994739918	0
HOXA10	0	0.718351841028638	0
HOXB3	1.31736375562286e-06	0.59240210403273	0.000526945502249144
ISL2	0.0237689728907752	0.294798363530099	1
FOXK1	0.00801748746598533	-0.343483343074226	1
GATA2	0	0.718176504967855	0
HIF1A	0.0238842284585159	-0.294564582115722	1
MYC	0.0424070048647093	-0.26551724137931	1
MYB	0	0.845762711864407	0
MYCN	7.38771600753816e-05	0.498305084745763	0.0295508640301527
NFIC	7.75727840597391e-06	0.553886616014027	0.00310291136238956
NFYA	0.0245561982049615	-0.293220338983051	1
NR2F2	0.784101765513485	0.0363530099357101	1
PAX5	0.649804957076855	0.0601987142022209	1
PBX3	0.134997772737908	0.196785505552309	1
POU5F1	0.351833703075285	0.123144360023378	1
RBPJ	1.96767591070613e-05	0.531969608416131	0.00787070364282453
RELB	0	-0.708766803039159	0
SOX13	0.0336033848712221	0.277615429573349	1
TEAD2	0	-0.736937463471654	0
TFDP1	5.88705084010782e-07	0.608766803039158	0.000235482033604313
ZBTB7A	5.52965917753716e-06	0.561542957334892	0.00221186367101486
ZEB1	0.0952742997893123	-0.219228521332554	1
ZNF24	0	-0.69573348918761	0
ZNF384	0.464027335541306	0.0969608416130918	1
ZNF282	1.1565141023353e-06	0.595090590298071	0.000462605640934119
RORB	0.025456725725128	0.291466978375219	1
RORC	0.0106201308078684	0.33156049094097	1
SOX15	0.00798381109556159	0.343658679135009	1
IRF3	5.69028920123098e-09	-0.682700175336061	2.27611568049239e-06
IRF4	0.166496711863979	-0.182349503214495	1
IRF5	0.462136746748733	-0.0973699590882525	1
TCF7L1	0.865076736961546	0.0225599064874343	1
ARGFX	0.248217070724272	-0.152483927527762	1
ARNT2	0.69521997036213	0.0519579193454121	1
ATF6	1.19123240741145e-05	0.543950905902981	0.00476492962964579
BACH2	0	-0.721274108708358	0
CREB3L4	0.176337752624315	-0.178258328462887	1
ETS2	0.00387189505514784	-0.372530683810637	1
FOXN3	0.147283243887908	-0.190882524839275	1
HES6	0.310048092876493	0.134190531852718	1
HNF4A	0.163760757817846	0.183518410286382	1
HOXA1	0.0221501305870468	0.298188194038574	1
HOXA4	7.07565256107264e-07	0.605084745762712	0.000283026102442906
HOXA6	0	0.702630040911748	0
HOXB4	1.89955592357931e-08	0.669433080070135	7.59822369431724e-06
