name	variability	bootstrap_lower_bound	bootstrap_upper_bound	p_value	p_value_adj
NKX2-3	4.86752123621452	4.49447832424976	5.15950781587386	0	0
NKX2-8	3.41095777219446	3.15348309157549	3.61493244364444	9.91260411595771e-140	1.84825788559788e-139
NKX6-1	4.1776085033627	3.76746159678479	4.52926351056354	2.05033500721027e-230	5.28512649268943e-230
NKX6-2	3.93187440545759	3.52735222817351	4.27872125476341	4.57532830102018e-199	1.06101699310396e-198
OLIG2	3.51518964080712	3.23563587187627	3.73489835898047	8.00726483784725e-151	1.55110788924766e-150
PAX4	3.15959462098614	2.83750716768026	3.44428776532276	1.33233287746564e-114	2.20465312460426e-114
POU4F2	4.37408042812796	3.9744081197975	4.7321542215258	5.17076244543499e-257	1.47378119039491e-256
SPDEF	2.53265640207822	2.24202832069819	2.80057802817861	4.13892415680006e-62	5.47624525449824e-62
SPIC	1.46880444862273	1.28328299643912	1.62493513148577	1.70301202522238e-08	1.74343161442861e-08
SRF	1.13473798870502	0.945347837916535	1.27540001206988	0.045499665731802	0.0456407499666292
TBXT	1.60568032021585	1.35109448804219	1.81984254019417	1.11044122987156e-12	1.15693313321562e-12
TBX2	1.50769163456929	1.25057413912782	1.70689554505987	1.35009245164504e-09	1.38652351780054e-09
TBX20	1.39102772510107	1.1929401326955	1.54957801983007	1.65157571859092e-06	1.67225272289253e-06
TFAP4	7.80998791176273	6.84444813120948	8.64641342349071	0	0
TFEB	1.88098532435324	1.58469275807837	2.12547437172007	1.22004351677057e-23	1.32222471583008e-23
ZBTB7B	2.99949080840546	2.70424136379535	3.26161543970734	8.39027961991425e-100	1.31123452031027e-99
ZBTB7C	3.15456385805448	2.79687122555943	3.44739052643669	4.01772874293917e-114	6.59764085452193e-114
ZIC1	4.03652114065645	3.60183556147207	4.4094905674426	3.73228453624816e-212	9.11240790548136e-212
ZBTB18	10.2181912105626	9.13607932243229	11.0439118853779	0	0
LBX2	2.07109704412516	1.90485593894798	2.21011024623245	4.29101908747149e-33	4.90510485794003e-33
MEOX2	3.89894618002095	3.53924363326952	4.19108682593114	4.99354888395643e-195	1.12181462774993e-194
NOTO	2.68697895841676	2.46350782367926	2.85564222299899	1.16581199020486e-73	1.61171016594561e-73
OTX1	1.8484605922425	1.65391513121672	1.99672958480459	3.56560534670361e-22	3.838513576235e-22
PDX1	2.466755941968	2.26505241222361	2.62575407867903	1.86661554432511e-57	2.40577740473774e-57
PHOX2A	5.07063112010379	4.65241520154434	5.39981268385862	0	0
PITX3	3.82164075000293	3.38562997583751	4.19147698934125	1.0635034897689e-185	2.32461742527189e-185
PROP1	5.23857468078898	4.8193301824503	5.57079172991041	0	0
PRRX1	2.94181727656767	2.63399771562493	3.21679903694597	1.0538851261843e-94	1.60061895925174e-94
RAX2	2.13947639990761	1.94781531936646	2.31320070321815	7.39142040622631e-37	8.60116727127415e-37
RAX	2.74565529818312	2.46209741007969	3.0018304328878	2.73865955605639e-78	3.88577353677299e-78
RHOXF1	3.82528267635955	3.50375755861926	4.03326244640568	3.90887796276902e-186	8.6021906187468e-186
UNCX	2.94181727656767	2.63399771562493	3.21679903694597	1.0538851261843e-94	1.60061895925174e-94
VAX1	2.32763138507233	2.06571667333581	2.54518928933983	3.49208314771561e-48	4.27912461471969e-48
VENTX	1.59450165983146	1.32972956389651	1.81586594441813	2.62804645488029e-12	2.73367533168416e-12
VSX1	3.18717083860685	2.85417465988597	3.48012571905524	3.02320749096989e-117	5.14740854383557e-117
VSX2	3.18717083860685	2.85417465988597	3.48012571905524	3.02320749096989e-117	5.14740854383557e-117
ESR1	2.09768234943593	1.63564313145424	2.49926239088452	1.55517671533201e-34	1.79039027548009e-34
ESRRB	1.91979991358834	1.51375957049668	2.25510221699712	1.89932516031376e-25	2.07228225754301e-25
NR2F1	2.5981433349559	1.98291283338228	3.09970285803695	6.70731760168286e-67	9.07873323909794e-67
NR3C1	3.2834596073907	2.88547561836239	3.64320345066504	1.07081635919543e-126	1.88265810978109e-126
NR3C2	2.98768851543509	2.50303301259521	3.41374391263088	9.4901833773399e-99	1.47599727046609e-98
RARA	3.19756482738277	2.56755676552764	3.69378420593638	2.99648748294676e-118	5.12890846948824e-118
BCL6B	4.47485111267132	4.08755060889488	4.79856192489798	3.50483754545535e-271	1.06461497272752e-270
EGR2	3.93167740956001	3.31430104002496	4.45778698605289	4.83831862965271e-199	1.11799719763761e-198
EGR3	3.92340073098841	3.32155671110703	4.43654710949308	5.04930996746866e-198	1.15438287948842e-197
EGR4	3.98044963935683	3.3808939642024	4.49244717737836	4.29842953632487e-205	1.02623022509306e-204
GLIS1	2.27315761362042	1.93595863628965	2.55615685250751	9.26403548537672e-45	1.10996869611828e-44
GLIS2	2.89390603358747	2.58669766988893	3.18532343348737	1.46126454431999e-90	2.18851425966443e-90
GLIS3	2.38865743420852	2.11192913251962	2.63486880411259	3.70646291617096e-52	4.62950097830621e-52
HIC2	3.52603577835346	2.89986599104387	4.01004164736463	5.32929642046796e-152	1.03545188709993e-151
KLF16	3.39612030653932	2.90417302573813	3.80273115939425	3.49372205585845e-138	6.43999478672484e-138
SP8	3.59232938530733	3.06033364438966	4.02630287900515	2.76486381733956e-159	5.47054094745778e-159
ZBED1	1.83762342195002	1.59095898566655	2.02100022433481	1.07281475293948e-21	1.15109642645414e-21
ZIC4	4.03441473743931	3.64254441511993	4.36624022540275	6.90650418300801e-212	1.67359857917835e-211
ZNF143	3.7238815949854	3.39238008130984	3.99512189423663	3.29602928599335e-174	6.94635487960162e-174
ZNF410	3.64555604304632	3.35439734313968	3.87716755660853	3.00773716776345e-165	6.11951555831116e-165
CUX2	2.52504609899688	2.27939273894664	2.74337327780001	1.45514518982035e-61	1.91747237843944e-61
ONECUT3	4.85581174326019	4.3531781142685	5.27217456786934	0	0
E2F7	4.26649208082407	3.84420624137069	4.6341628266877	2.80025838499533e-242	7.39496806159992e-242
ERF	3.74168029235109	3.17335220563397	4.25703218961525	2.8264359998269e-176	6.0154739864737e-176
ETS1	5.13445509777456	4.32910126696062	5.87110327709065	0	0
ETV2	1.98524580739263	1.74250547391623	2.20892204257896	1.22322455148451e-28	1.36924962769979e-28
ETV3	5.42173227965722	4.66710480926672	6.09200116542488	0	0
GCM2	3.28225424311917	3.01146604824554	3.49957516869272	1.41290534758656e-126	2.47737062300408e-126
HSF2	5.82547406446838	5.373026904573	6.18188779415278	0	0
HSF4	4.97292033670855	4.54117467086719	5.32783549713046	0	0
IRF7	5.5890078223969	4.89001662415181	6.2040459055196	0	0
MEF2D	3.17698950243434	2.62011282622302	3.57502640476965	2.88369878938765e-116	4.8461119915164e-116
MEIS1	5.44029595516025	5.0223503020214	5.79938695450622	0	0
MEIS2	6.47485067314512	5.961551198392	6.90772539939698	0	0
MEIS3	3.73685842386315	3.41637808532513	4.00995720827884	1.02864256278079e-175	2.17494032065089e-175
MYBL1	2.42431181675552	2.20907004560963	2.6085466242827	1.51257962050918e-54	1.91140432513562e-54
MYBL2	1.71062799739539	1.50902274833944	1.88084228788398	1.8172046384112e-16	1.92112974028112e-16
NFKB1	4.50785474116826	3.9612645795508	4.95538379224104	6.71044600934799e-276	2.11788222831617e-275
NFKB2	4.65471737938163	4.04949224743376	5.14320966410369	2.34480971201601e-297	8.20049666851004e-297
PAX1	3.30933182624603	2.83210764586182	3.70139140313811	2.70835157381207e-129	4.85402622785709e-129
PAX3	2.3963455194674	2.14772241440215	2.61417762788542	1.14277996865029e-52	1.43290434053631e-52
PAX9	3.56427768162987	3.02245573645873	3.96504994335064	3.49604477142459e-156	6.81307520214371e-156
PKNOX2	5.6882494805582	5.08332707029624	6.19182692099019	0	0
POU2F1	3.38618797727074	2.8688849746684	3.79781254400965	3.75381683160244e-137	6.86078951990615e-137
POU3F1	2.38923282581215	1.96751745332894	2.71344891289211	3.39465384323346e-52	4.24824185023607e-52
